chembl_id,smiles,ER,log_er,nn_tanimoto,MW,logP,TPSA
CHEMBL4450313,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(F)ccc2F)cc1F,1.4,0.1461,0.467,433.9,4.63,71.1
CHEMBL4517170,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1ccccc1,1.4,0.1461,0.447,411.9,4.91,71.1
CHEMBL4445144,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)cc2Cl)c1,1.4,0.1461,0.45,459.9,5.06,80.3
CHEMBL4435054,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,1.5,0.1761,0.289,484.6,4.81,74.3
CHEMBL4444000,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2c(F)cccc2CN2CCC2)cc1F,1.7,0.2304,0.395,485.0,4.69,74.3
CHEMBL4580996,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(F)ccc1F,1.7,0.2304,0.455,447.9,5.19,71.1
CHEMBL4580815,CCC(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,2.0,0.301,0.271,407.9,5.16,71.1
CHEMBL4563736,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1ccccc1F,2.0,0.301,0.442,429.9,5.05,71.1
CHEMBL4471825,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,2.0,0.301,0.3,498.6,5.2,74.3
CHEMBL4448084,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,2.1,0.3222,0.374,513.0,5.47,74.3
CHEMBL4466858,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1ccccc1F,2.3,0.3617,0.325,413.4,4.53,71.1
CHEMBL4552363,CCC(c1ccccc1)N(C)c1ccc(S(=O)(=O)Nc2nccs2)cc1Cl,2.9,0.4624,0.264,422.0,5.18,62.3
CHEMBL4530743,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1F,3.7,0.5682,0.273,447.9,5.19,71.1
CHEMBL4460028,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,5.5,0.7404,0.287,496.6,4.96,74.3
CHEMBL4462046,CC(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,5.9,0.7709,0.297,393.9,4.77,71.1
CHEMBL4529272,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)c(F)c2)c1,6.0,0.7782,0.337,443.5,4.54,80.3
CHEMBL4474960,C[C@H](Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,6.3,0.7993,0.297,393.9,4.77,71.1
CHEMBL4468899,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,6.5,0.8129,0.292,411.9,4.91,71.1
CHEMBL4458508,CC(c1ccccc1)N1CCc2cc(S(=O)(=O)Nc3nccs3)ccc21,6.6,0.8195,0.321,385.5,4.07,62.3
CHEMBL4519633,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1,7.4,0.8692,0.279,429.9,5.05,71.1
CHEMBL4544968,COC[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,8.9,0.9494,0.301,441.9,4.54,80.3
CHEMBL4578556,CC[C@H](Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccccc1,11.7,1.0682,0.294,373.5,4.51,71.1
CHEMBL4457973,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1cccnc1,20.8,1.3181,0.274,412.9,4.3,84.0
CHEMBL4585141,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(CN3CCC3)ccc2F)cc1F,24.1,1.382,0.417,485.0,4.69,74.3
CHEMBL4459170,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1cc(C#N)ccc1F,36.7,1.5647,0.318,438.5,4.41,94.9
CHEMBL4558113,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(CN2CCC2)ccc1F,60.9,1.7846,0.402,499.0,5.25,74.3
