cmpd_id,chembl_id,smiles,ER,log_er
C01,CHEMBL4450313,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(F)ccc2F)cc1F,1.4,0.1461
C02,CHEMBL4517170,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1ccccc1,1.4,0.1461
C03,CHEMBL4445144,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)cc2Cl)c1,1.4,0.1461
C04,CHEMBL4435054,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,1.5,0.1761
C05,CHEMBL4444000,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2c(F)cccc2CN2CCC2)cc1F,1.7,0.2304
C06,CHEMBL4580996,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(F)ccc1F,1.7,0.2304
C07,CHEMBL4580815,CCC(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,2.0,0.301
C08,CHEMBL4563736,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1ccccc1F,2.0,0.301
C09,CHEMBL4471825,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,2.0,0.301
C10,CHEMBL4448084,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,2.1,0.3222
C11,CHEMBL4466858,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1ccccc1F,2.3,0.3617
C12,CHEMBL4552363,CCC(c1ccccc1)N(C)c1ccc(S(=O)(=O)Nc2nccs2)cc1Cl,2.9,0.4624
C13,CHEMBL4530743,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1F,3.7,0.5682
C14,CHEMBL4460028,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,5.5,0.7404
C15,CHEMBL4462046,CC(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,5.9,0.7709
C16,CHEMBL4529272,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)c(F)c2)c1,6.0,0.7782
C17,CHEMBL4474960,C[C@H](Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,6.3,0.7993
C18,CHEMBL4468899,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,6.5,0.8129
C19,CHEMBL4458508,CC(c1ccccc1)N1CCc2cc(S(=O)(=O)Nc3nccs3)ccc21,6.6,0.8195
C20,CHEMBL4519633,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1,7.4,0.8692
C21,CHEMBL4544968,COC[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,8.9,0.9494
C22,CHEMBL4578556,CC[C@H](Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccccc1,11.7,1.0682
C23,CHEMBL4457973,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1cccnc1,20.8,1.3181
C24,CHEMBL4585141,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(CN3CCC3)ccc2F)cc1F,24.1,1.382
C25,CHEMBL4459170,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1cc(C#N)ccc1F,36.7,1.5647
C26,CHEMBL4558113,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(CN2CCC2)ccc1F,60.9,1.7846
