cmpd_id,smiles,nn_tanimoto,MW,logP,TPSA
C01,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(F)ccc2F)cc1F,0.467,433.9,4.63,71.1
C02,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1ccccc1,0.447,411.9,4.91,71.1
C03,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)cc2Cl)c1,0.45,459.9,5.06,80.3
C04,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,0.289,484.6,4.81,74.3
C05,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2c(F)cccc2CN2CCC2)cc1F,0.395,485.0,4.69,74.3
C06,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(F)ccc1F,0.455,447.9,5.19,71.1
C07,CCC(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,0.271,407.9,5.16,71.1
C08,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1ccccc1F,0.442,429.9,5.05,71.1
C09,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,0.3,498.6,5.2,74.3
C10,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,0.374,513.0,5.47,74.3
C11,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1ccccc1F,0.325,413.4,4.53,71.1
C12,CCC(c1ccccc1)N(C)c1ccc(S(=O)(=O)Nc2nccs2)cc1Cl,0.264,422.0,5.18,62.3
C13,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1F,0.273,447.9,5.19,71.1
C14,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,0.287,496.6,4.96,74.3
C15,CC(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,0.297,393.9,4.77,71.1
C16,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)c(F)c2)c1,0.337,443.5,4.54,80.3
C17,C[C@H](Nc1ccc(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,0.297,393.9,4.77,71.1
C18,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,0.292,411.9,4.91,71.1
C19,CC(c1ccccc1)N1CCc2cc(S(=O)(=O)Nc3nccs3)ccc21,0.321,385.5,4.07,62.3
C20,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1,0.279,429.9,5.05,71.1
C21,COC[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,0.301,441.9,4.54,80.3
C22,CC[C@H](Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccccc1,0.294,373.5,4.51,71.1
C23,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1cccnc1,0.274,412.9,4.3,84.0
C24,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(CN3CCC3)ccc2F)cc1F,0.417,485.0,4.69,74.3
C25,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1cc(C#N)ccc1F,0.318,438.5,4.41,94.9
C26,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(CN2CCC2)ccc1F,0.402,499.0,5.25,74.3
